model,window,n_fit_samples,n_val_anchors,train_seconds,mae_avg_all_steps,mae_step_1,mae_step_2,mae_step_3,mae_step_4,mae_step_5,mae_step_6,mae_step_7,mae_step_8,mae_step_9,mae_step_10,mae_step_11,mae_step_12,mae_step_13,mae_step_14,mae_step_15,mae_step_16,mae_step_17,mae_step_18
xgboost,1,589715,36050,8.424205303192139,13.088013426506897,3.164934750793711,5.267697041123982,6.898671946532187,8.248496682938194,9.428020036461945,10.475865293971047,11.473034320466232,12.443212662907149,13.366612643640018,14.254244582854758,15.09640763958681,15.856348211576803,16.56466981885172,17.289516685369442,17.99291703265186,18.65003594767535,19.27482478592829,19.838731593794698
lightgbm,1,589715,36050,2.9333322048187256,12.9638296714867,3.1637681886621674,5.254784675248054,6.866290906915505,8.192022797582778,9.346766779398607,10.376219504239835,11.35765769009466,12.315747858189505,13.228498490358852,14.104889612620799,14.942894640064116,15.69613107504637,16.395885621281145,17.118494477224868,17.81310673389586,18.46542791914703,19.081418787507165,19.628928329283248
catboost,1,589715,36050,12.11263132095337,13.064586639469614,3.1649380263090157,5.261023943723245,6.876804586402808,8.218109207169917,9.382957756495651,10.421017079538574,11.414762909240663,12.377046674848287,13.307040488194673,14.199835912492706,15.054478201207921,15.82926411338763,16.55674365536499,17.302000764074275,18.010476557613437,18.661379416424857,19.28242171268551,19.842258505278885
xgboost,2,579705,35280,7.235252141952515,12.75137629519785,4.181825729508519,5.36292202272653,7.188535931645608,8.245931121064963,9.399013086349244,10.268388578626844,11.212937582539322,12.092771044015343,12.979423690761298,13.749896786056137,14.489176783918523,15.185427071448085,15.86054627857511,16.569537037786713,17.264666440535564,17.894501453840814,18.520019827948676,19.059252846213965
lightgbm,2,579705,35280,2.418938636779785,12.937382120343827,2.9837094505131683,5.081867997156432,6.758127526589952,8.152272638777218,9.295296878420553,10.33336676055994,11.307632750919682,12.300684638573127,13.246978873934651,14.136324399175829,14.945078392518976,15.715098728752443,16.440813642145198,17.166300968794214,17.85220341743831,18.484420225334233,19.066766994551674,19.605933882033295
catboost,2,579705,35280,13.528362035751343,12.86844631494468,3.012349696177826,5.109373380041607,6.780821570084979,8.161870971414967,9.312291633008128,10.356415117753091,11.336949759824371,12.337922259617653,13.289073773031069,14.192679981434562,14.992368561715658,15.729683232116376,16.407645510567733,17.072050770483095,17.67798658897738,18.205382206598973,18.6384813473062,19.01868730885055
xgboost,3,569800,34510,9.275171279907227,12.552791790670673,2.9951661142256945,5.07578406785751,6.650217792131838,8.00540482093548,9.165859681590678,10.183346871989805,11.127354413023966,12.04329878686304,12.869693621909297,13.633201930737778,14.38303150629106,15.128890057820508,15.854236222308327,16.585467269309394,17.20629290324023,17.780888053210912,18.351859358392637,18.910258760233955
lightgbm,3,569800,34510,2.617297410964966,11.719939335543097,3.1588635540143044,5.065187194832221,6.551905411594861,7.748170291229197,8.806361866950137,9.68293968226983,10.530039806700662,11.312541880713448,12.042863891589915,12.718983836500584,13.373515210883106,14.011486987524146,14.651903440223657,15.261112728513087,15.775860874416633,16.262466624301364,16.750878753478837,17.25382600403979
catboost,3,569800,34510,12.19973611831665,12.685596121128064,3.0207751159551646,5.10068951423482,6.680102954902472,8.017937888858583,9.21572809891346,10.232286402121177,11.203800551623699,12.126061214064466,12.970573397072474,13.767432534287149,14.547781806888247,15.320444467629168,16.05684498199757,16.772752111617763,17.419192778615557,18.030308762354696,18.638491924729276,19.219525674439414
xgboost,4,559895,33740,8.131914377212524,12.24447642838084,3.015977920324193,5.0961921244170725,6.698640497068576,7.956246066361966,9.058152258148827,10.037415593208896,10.95479301719462,11.832451357386418,12.611761913740501,13.337595523456603,14.06498346017816,14.742209473289394,15.379273516480287,16.020363674830882,16.59261702179697,17.127562483881942,17.683666492003127,18.190673317086716
lightgbm,4,559895,33740,2.9246606826782227,12.377643097712259,3.0211492647363754,5.102524851076261,6.719640963893648,8.003531835517359,9.121552350445237,10.119819618732366,11.053168853460997,11.93370942338006,12.724428244454428,13.475460518935426,14.216985204185931,14.90146562911982,15.553035026525501,16.22104156571576,16.821352883976697,17.378044790378517,17.95462206169971,18.47604267258657
catboost,4,559895,33740,11.95545768737793,12.706584199638058,3.048410556366411,5.147109849162743,6.774828383158462,8.092423418222507,9.255654506582852,10.302680295162073,11.278611462335894,12.218039490550286,13.08598686812499,13.914635970939914,14.71255006826729,15.450061999976846,16.13402257565355,16.7960324777429,17.375487690002785,17.88163755829454,18.404635232561258,18.84570719037977
xgboost,5,549990,32970,8.699070692062378,12.11477920673126,2.9976042271094285,5.053970757606791,6.636666087508383,7.927899839605459,9.012201093882549,10.01004497237664,10.903773212519638,11.712711414988561,12.45732534476255,13.176867105138639,13.904363175063267,14.604473672854672,15.228025345343838,15.833262668987965,16.370009397599855,16.875482039354697,17.422824705735387,17.938520660724357
lightgbm,5,549990,32970,3.904017686843872,12.38094278645971,3.002351688357595,5.07977078885705,6.689233586858109,8.012147038429314,9.142519577613012,10.183005567073389,11.110877214852227,11.952185653517683,12.729273109786048,13.484613638232048,14.237094383688948,14.958130798835654,15.604206305140924,16.219912083188856,16.783250043666477,17.316779748162993,17.898056635714887,18.45356229429962
catboost,5,549990,32970,13.539150953292847,12.578538147641707,3.0367617228441444,5.101491527747556,6.68548561724316,7.9989275147975345,9.14269748158282,10.195374102729284,11.163708461149293,12.053566865551357,12.878594661309824,13.683644310600682,14.484122504881915,15.271600721843845,15.984145271204437,16.636205586590762,17.20753916864395,17.753695265623016,18.31415495566244,18.821970917544707
xgboost,6,540085,32235,8.288243055343628,12.230456514908967,3.016524191658608,5.101883426865663,6.710513339272687,8.041631006968933,9.183574147651191,10.128778822662037,11.016764564804093,11.881458465779717,12.681793877015988,13.435243595502572,14.101127812672683,14.710023069906848,15.286597065003283,15.90260232481935,16.476670279073147,17.011414241184276,17.5126581773363,17.94895886018403
lightgbm,6,540085,32235,3.3584065437316895,12.40028668090534,3.0055901515737724,5.102538711938156,6.729927107540529,8.083066444998519,9.25705882559581,10.224845903588125,11.131190419129448,12.00474175321799,12.819618897720561,13.59067396555101,14.28611210247283,14.919505232426554,15.532702730010417,16.17317208156732,16.776634012489474,17.338793426812586,17.878836671330106,18.350151818332897
catboost,6,540085,32235,13.408820390701294,12.60463871254828,3.0352686743399238,5.127198574708948,6.745781675095209,8.090251298882976,9.26412705210969,10.254752378965277,11.180008247408423,12.09518011871384,12.962703983381456,13.786291436913807,14.546206962221662,15.236115197506512,15.905590613409224,16.59281067869972,17.2281590646291,17.796423022778352,18.308223312019475,18.728404534085467
xgboost,7,530180,31465,8.304375171661377,12.37869993394017,3.0166570106068686,5.083097463280754,6.688347147698056,8.075443015044772,9.20659715066592,10.22327485047405,11.138984824931812,11.991211876838134,12.796741440859543,13.581567860968102,14.298532644235783,14.967366553269754,15.608375089346236,16.197934073922973,16.710352485834957,17.241802816059106,17.760194276948813,18.230118229937407
lightgbm,7,530180,31465,2.9621596336364746,12.702366951232749,3.0158848680650574,5.093207611767804,6.713017648433434,8.112959435857226,9.26807637687627,10.316890293059886,11.273008589534905,12.173054978393496,13.028125336877691,13.869495568735829,14.647732142597471,15.392603386421792,16.101934949892428,16.762515179444417,17.333551839866576,17.936249405678605,18.530340186785303,19.07395732390129
catboost,7,530180,31465,12.234930992126465,12.309172317669015,3.0427782072773795,5.115387401048914,6.717359469439632,8.113352250930323,9.264998521426884,10.293653075226949,11.21123262357648,12.05219941269052,12.83145598378019,13.57746280707348,14.262829501385843,14.893383493317254,15.473129934587762,16.01232209237909,16.48615195797162,16.972112522084103,17.4305395973171,17.81475286652874
xgboost,8,520275,30730,7.613228797912598,12.536286368209542,3.008847514139182,5.08492446785209,6.708794693305987,8.066092355407259,9.235768306693696,10.26261814463771,11.237541349679764,12.137125255461822,12.972411798042076,13.782373547391087,14.520866744106304,15.219676316246085,15.894235135148877,16.4906944083733,17.047578793149253,17.542707139476672,17.99946240947412,18.441436249186463
lightgbm,8,520275,30730,2.9563519954681396,12.497541709567475,3.0196818951349957,5.071925965343618,6.6875855033092275,8.044481891890495,9.195517668678274,10.214533818176996,11.190000541684954,12.09481419350465,12.94107151370815,13.751611496268158,14.493839038241381,15.189963160490255,15.874622397495514,16.45369093091274,17.005255733401714,17.48164064548158,17.91360171979251,18.33191265869933
catboost,8,520275,30730,12.923943281173706,12.599064098591871,3.0349807292466515,5.09638217052577,6.709790899274612,8.070369548187799,9.227262702284225,10.263405636400524,11.254987814085583,12.196776807068826,13.040869033615026,13.87020112821565,14.640410935738325,15.35949549199487,16.058028383494605,16.652270865330085,17.18193475450176,17.636757635875068,18.046541603839117,18.442687634975176
xgboost,9,510370,29995,8.411919355392456,12.647912460586873,3.0356308591308188,5.156891052276617,6.7840297728861385,8.182532063856346,9.37452764089832,10.419352506728824,11.41731271872542,12.360776223324004,13.192243684596033,13.939577718010781,14.654429113429712,15.339728013140537,15.999001923599408,16.62817843196034,17.13816946786053,17.58303569393727,18.015704784720793,18.441302621481835
